emoji,description,aliases,tags,category,unicode_version,ios_version
🇧🇧,flag: Barbados,barbados,,Flags,6.0,8.3
🇧🇩,flag: Bangladesh,bangladesh,,Flags,6.0,8.3
🇧🇪,flag: Belgium,belgium,,Flags,6.0,8.3
🇧🇫,flag: Burkina Faso,burkina_faso,,Flags,6.0,8.3
🇧🇬,flag: Bulgaria,bulgaria,,Flags,6.0,8.3
🇧🇭,flag: Bahrain,bahrain,,Flags,6.0,8.3
🇧🇮,flag: Burundi,burundi,,Flags,6.0,8.3
🇧🇯,flag: Benin,benin,,Flags,6.0,8.3
🇧🇱,flag: St. Barthélemy,st_barthelemy,,Flags,6.0,9.0
🇧🇲,flag: Bermuda,bermuda,,Flags,6.0,8.3
🇧🇳,flag: Brunei,brunei,,Flags,6.0,8.3
🇧🇴,flag: Bolivia,bolivia,,Flags,6.0,8.3
🇧🇶,flag: Caribbean Netherlands,caribbean_netherlands,,Flags,6.0,9.0
🇧🇷,flag: Brazil,brazil,,Flags,6.0,8.3
🇧🇸,flag: Bahamas,bahamas,,Flags,6.0,8.3
🇧🇹,flag: Bhutan,bhutan,,Flags,6.0,8.3
🇧🇻,flag: Bouvet Island,bouvet_island,,Flags,11.0,12.1
🇧🇼,flag: Botswana,botswana,,Flags,6.0,8.3
🇧🇾,flag: Belarus,belarus,,Flags,6.0,8.3
🇧🇿,flag: Belize,belize,,Flags,6.0,8.3
🇨🇦,flag: Canada,canada,,Flags,6.0,8.3
🇨🇨,flag: Cocos (Keeling) Islands,cocos_islands,keeling,Flags,6.0,9.0
🇨🇩,flag: Congo - Kinshasa,congo_kinshasa,,Flags,6.0,8.3
🇨🇫,flag: Central African Republic,central_african_republic,,Flags,6.0,8.3
🇨🇬,flag: Congo - Brazzaville,congo_brazzaville,,Flags,6.0,8.3
🇨🇭,flag: Switzerland,switzerland,,Flags,6.0,8.3
🇨🇮,flag: Côte d’Ivoire,cote_divoire,ivory,Flags,6.0,8.3
🇨🇰,flag: Cook Islands,cook_islands,,Flags,6.0,8.3
🇨🇱,flag: Chile,chile,,Flags,6.0,8.3
🇨🇲,flag: Cameroon,cameroon,,Flags,6.0,8.3
🇨🇳,flag: China,cn,china,Flags,6.0,6.0
🇨🇴,flag: Colombia,colombia,,Flags,6.0,8.3
🇨🇵,flag: Clipperton Island,clipperton_island,,Flags,11.0,12.1
🇨🇷,flag: Costa Rica,costa_rica,,Flags,6.0,8.3
🇨🇺,flag: Cuba,cuba,,Flags,6.0,8.3
🇨🇻,flag: Cape Verde,cape_verde,,Flags,6.0,8.3
🇨🇼,flag: Curaçao,curacao,,Flags,6.0,8.3
🇨🇽,flag: Christmas Island,christmas_island,,Flags,6.0,9.0
🇨🇾,flag: Cyprus,cyprus,,Flags,6.0,8.3
🇨🇿,flag: Czechia,czech_republic,,Flags,6.0,8.3
🇩🇪,flag: Germany,de,flag germany,Flags,6.0,6.0
🇩🇬,flag: Diego Garcia,diego_garcia,,Flags,11.0,12.1
🇩🇯,flag: Djibouti,djibouti,,Flags,6.0,8.3
🇩🇰,flag: Denmark,denmark,,Flags,6.0,8.3
🇩🇲,flag: Dominica,dominica,,Flags,6.0,8.3
🇩🇴,flag: Dominican Republic,dominican_republic,,Flags,6.0,8.3
🇩🇿,flag: Algeria,algeria,,Flags,6.0,8.3
🇪🇦,flag: Ceuta & Melilla,ceuta_melilla,,Flags,11.0,12.1
🇪🇨,flag: Ecuador,ecuador,,Flags,6.0,8.3
🇪🇪,flag: Estonia,estonia,,Flags,6.0,8.3
🇪🇬,flag: Egypt,egypt,,Flags,6.0,8.3
🇪🇭,flag: Western Sahara,western_sahara,,Flags,6.0,9.0
🇪🇷,flag: Eritrea,eritrea,,Flags,6.0,8.3
🇪🇸,flag: Spain,es,spain,Flags,6.0,6.0
🇪🇹,flag: Ethiopia,ethiopia,,Flags,6.0,8.3
🇪🇺,flag: European Union,eu european_union,,Flags,6.0,9.0
🇫🇮,flag: Finland,finland,,Flags,6.0,8.3
🇫🇯,flag: Fiji,fiji,,Flags,6.0,8.3
🇫🇰,flag: Falkland Islands,falkland_islands,,Flags,6.0,9.0
🇫🇲,flag: Micronesia,micronesia,,Flags,6.0,9.0
🇫🇴,flag: Faroe Islands,faroe_islands,,Flags,6.0,8.3
🇫🇷,flag: France,fr,france french,Flags,6.0,6.0
🇬🇦,flag: Gabon,gabon,,Flags,6.0,8.3
🇬🇧,flag: United Kingdom,gb uk,flag british,Flags,6.0,6.0
🇬🇩,flag: Grenada,grenada,,Flags,6.0,8.3
🇬🇪,flag: Georgia,georgia,,Flags,6.0,8.3
🇬🇫,flag: French Guiana,french_guiana,,Flags,6.0,8.3
🇬🇬,flag: Guernsey,guernsey,,Flags,6.0,9.0
🇬🇭,flag: Ghana,ghana,,Flags,6.0,8.3
🇬🇮,flag: Gibraltar,gibraltar,,Flags,6.0,8.3
🇬🇱,flag: Greenland,greenland,,Flags,6.0,9.0
🇬🇲,flag: Gambia,gambia,,Flags,6.0,8.3
🇬🇳,flag: Guinea,guinea,,Flags,6.0,8.3
🇬🇵,flag: Guadeloupe,guadeloupe,,Flags,6.0,9.0
🇬🇶,flag: Equatorial Guinea,equatorial_guinea,,Flags,6.0,8.3
🇬🇷,flag: Greece,greece,,Flags,6.0,8.3
🇬🇸,flag: South Georgia & South Sandwich Islands,south_georgia_south_sandwich_islands,,Flags,6.0,9.0
🇬🇹,flag: Guatemala,guatemala,,Flags,6.0,8.3
🇬🇺,flag: Guam,guam,,Flags,6.0,8.3
🇬🇼,flag: Guinea-Bissau,guinea_bissau,,Flags,6.0,8.3
🇬🇾,flag: Guyana,guyana,,Flags,6.0,8.3
🇭🇰,flag: Hong Kong SAR China,hong_kong,,Flags,6.0,8.3
🇭🇲,flag: Heard & McDonald Islands,heard_mcdonald_islands,,Flags,11.0,12.1
🇭🇳,flag: Honduras,honduras,,Flags,6.0,8.3
🇭🇷,flag: Croatia,croatia,,Flags,6.0,8.3
🇭🇹,flag: Haiti,haiti,,Flags,6.0,8.3
🇭🇺,flag: Hungary,hungary,,Flags,6.0,8.3
🇮🇨,flag: Canary Islands,canary_islands,,Flags,6.0,9.0
🇮🇩,flag: Indonesia,indonesia,,Flags,6.0,8.3
🇮🇪,flag: Ireland,ireland,,Flags,6.0,8.3
🇮🇱,flag: Israel,israel,,Flags,6.0,8.3
🇮🇲,flag: Isle of Man,isle_of_man,,Flags,6.0,9.0
🇮🇳,flag: India,india,,Flags,6.0,8.3
🇮🇴,flag: British Indian Ocean Territory,british_indian_ocean_territory,,Flags,6.0,9.0
🇮🇶,flag: Iraq,iraq,,Flags,6.0,8.3
🇮🇷,flag: Iran,iran,,Flags,6.0,8.3
🇮🇸,flag: Iceland,iceland,,Flags,6.0,8.3
🇮🇹,flag: Italy,it,italy,Flags,6.0,6.0
🇯🇪,flag: Jersey,jersey,,Flags,6.0,9.0
🇯🇲,flag: Jamaica,jamaica,,Flags,6.0,8.3
🇯🇴,flag: Jordan,jordan,,Flags,6.0,8.3
🇯🇵,flag: Japan,jp,japan,Flags,6.0,6.0
🇰🇪,flag: Kenya,kenya,,Flags,6.0,8.3
🇰🇬,flag: Kyrgyzstan,kyrgyzstan,,Flags,6.0,8.3
🇰🇭,flag: Cambodia,cambodia,,Flags,6.0,8.3
🇰🇮,flag: Kiribati,kiribati,,Flags,6.0,8.3
🇰🇲,flag: Comoros,comoros,,Flags,6.0,8.3
🇰🇳,flag: St. Kitts & Nevis,st_kitts_nevis,,Flags,6.0,8.3
🇰🇵,flag: North Korea,north_korea,,Flags,6.0,8.3
🇰🇷,flag: South Korea,kr,korea,Flags,6.0,6.0
🇰🇼,flag: Kuwait,kuwait,,Flags,6.0,8.3
🇰🇾,flag: Cayman Islands,cayman_islands,,Flags,6.0,8.3
🇰🇿,flag: Kazakhstan,kazakhstan,,Flags,6.0,8.3
🇱🇦,flag: Laos,laos,,Flags,6.0,8.3
🇱🇧,flag: Lebanon,lebanon,,Flags,6.0,8.3
🇱🇨,flag: St. Lucia,st_lucia,,Flags,6.0,8.3
🇱🇮,flag: Liechtenstein,liechtenstein,,Flags,6.0,8.3
🇱🇰,flag: Sri Lanka,sri_lanka,,Flags,6.0,8.3
🇱🇷,flag: Liberia,liberia,,Flags,6.0,8.3
🇱🇸,flag: Lesotho,lesotho,,Flags,6.0,8.3
🇱🇹,flag: Lithuania,lithuania,,Flags,6.0,8.3
🇱🇺,flag: Luxembourg,luxembourg,,Flags,6.0,8.3
🇱🇻,flag: Latvia,latvia,,Flags,6.0,8.3
🇱🇾,flag: Libya,libya,,Flags,6.0,8.3
🇲🇦,flag: Morocco,morocco,,Flags,6.0,8.3
🇲🇨,flag: Monaco,monaco,,Flags,6.0,9.0
🇲🇩,flag: Moldova,moldova,,Flags,6.0,8.3
🇲🇪,flag: Montenegro,montenegro,,Flags,6.0,8.3
🇲🇫,flag: St. Martin,st_martin,,Flags,11.0,12.1
🇲🇬,flag: Madagascar,madagascar,,Flags,6.0,8.3
🇲🇭,flag: Marshall Islands,marshall_islands,,Flags,6.0,9.0
🇲🇰,flag: North Macedonia,macedonia,,Flags,6.0,8.3
🇲🇱,flag: Mali,mali,,Flags,6.0,8.3
🇲🇲,flag: Myanmar (Burma),myanmar,burma,Flags,6.0,8.3
🇲🇳,flag: Mongolia,mongolia,,Flags,6.0,8.3
🇲🇴,flag: Macao SAR China,macau,,Flags,6.0,8.3
🇲🇵,flag: Northern Mariana Islands,northern_mariana_islands,,Flags,6.0,8.3
🇲🇶,flag: Martinique,martinique,,Flags,6.0,9.0
🇲🇷,flag: Mauritania,mauritania,,Flags,6.0,8.3
🇲🇸,flag: Montserrat,montserrat,,Flags,6.0,8.3
🇲🇹,flag: Malta,malta,,Flags,6.0,8.3
🇲🇺,flag: Mauritius,mauritius,,Flags,6.0,9.0
🇲🇻,flag: Maldives,maldives,,Flags,6.0,8.3
🇲🇼,flag: Malawi,malawi,,Flags,6.0,8.3
🇲🇽,flag: Mexico,mexico,,Flags,6.0,8.3
🇲🇾,flag: Malaysia,malaysia,,Flags,6.0,8.3
🇲🇿,flag: Mozambique,mozambique,,Flags,6.0,8.3
🇳🇦,flag: Namibia,namibia,,Flags,6.0,8.3
🇳🇨,flag: New Caledonia,new_caledonia,,Flags,6.0,8.3
🇳🇪,flag: Niger,niger,,Flags,6.0,8.3
🇳🇫,flag: Norfolk Island,norfolk_island,,Flags,6.0,9.0
🇳🇬,flag: Nigeria,nigeria,,Flags,6.0,8.3
🇳🇮,flag: Nicaragua,nicaragua,,Flags,6.0,8.3
🇳🇱,flag: Netherlands,netherlands,,Flags,6.0,8.3
🇳🇴,flag: Norway,norway,,Flags,6.0,8.3
🇳🇵,flag: Nepal,nepal,,Flags,6.0,8.3
🇳🇷,flag: Nauru,nauru,,Flags,6.0,9.0
🇳🇺,flag: Niue,niue,,Flags,6.0,8.3
🇳🇿,flag: New Zealand,new_zealand,,Flags,6.0,8.3
🇴🇲,flag: Oman,oman,,Flags,6.0,8.3
🇵🇦,flag: Panama,panama,,Flags,6.0,8.3
🇵🇪,flag: Peru,peru,,Flags,6.0,8.3
🇵🇫,flag: French Polynesia,french_polynesia,,Flags,6.0,9.0
🇵🇬,flag: Papua New Guinea,papua_new_guinea,,Flags,6.0,8.3
🇵🇭,flag: Philippines,philippines,,Flags,6.0,8.3
🇵🇰,flag: Pakistan,pakistan,,Flags,6.0,8.3
🇵🇱,flag: Poland,poland,,Flags,6.0,8.3
🇵🇲,flag: St. Pierre & Miquelon,st_pierre_miquelon,,Flags,6.0,9.0
🇵🇳,flag: Pitcairn Islands,pitcairn_islands,,Flags,6.0,9.0
🇵🇷,flag: Puerto Rico,puerto_rico,,Flags,6.0,8.3
🇵🇸,flag: Palestinian Territories,palestinian_territories,,Flags,6.0,8.3
🇵🇹,flag: Portugal,portugal,,Flags,6.0,8.3
🇵🇼,flag: Palau,palau,,Flags,6.0,8.3
🇵🇾,flag: Paraguay,paraguay,,Flags,6.0,8.3
🇶🇦,flag: Qatar,qatar,,Flags,6.0,8.3
🇷🇪,flag: Réunion,reunion,,Flags,6.0,9.0
🇷🇴,flag: Romania,romania,,Flags,6.0,8.3
🇷🇸,flag: Serbia,serbia,,Flags,6.0,8.3
🇷🇺,flag: Russia,ru,russia,Flags,6.0,6.0
🇷🇼,flag: Rwanda,rwanda,,Flags,6.0,8.3
🇸🇦,flag: Saudi Arabia,saudi_arabia,,Flags,6.0,8.3
🇸🇧,flag: Solomon Islands,solomon_islands,,Flags,6.0,8.3
🇸🇨,flag: Seychelles,seychelles,,Flags,6.0,8.3
🇸🇩,flag: Sudan,sudan,,Flags,6.0,8.3
🇸🇪,flag: Sweden,sweden,,Flags,6.0,8.3
🇸🇬,flag: Singapore,singapore,,Flags,6.0,8.3
🇸🇭,flag: St. Helena,st_helena,,Flags,6.0,9.0
🇸🇮,flag: Slovenia,slovenia,,Flags,6.0,8.3
🇸🇯,flag: Svalbard & Jan Mayen,svalbard_jan_mayen,,Flags,11.0,12.1
🇸🇰,flag: Slovakia,slovakia,,Flags,6.0,8.3
🇸🇱,flag: Sierra Leone,sierra_leone,,Flags,6.0,8.3
🇸🇲,flag: San Marino,san_marino,,Flags,6.0,8.3
🇸🇳,flag: Senegal,senegal,,Flags,6.0,8.3
🇸🇴,flag: Somalia,somalia,,Flags,6.0,8.3
🇸🇷,flag: Suriname,suriname,,Flags,6.0,8.3
🇸🇸,flag: South Sudan,south_sudan,,Flags,6.0,8.3
🇸🇹,flag: São Tomé & Príncipe,sao_tome_principe,,Flags,6.0,8.3
🇸🇻,flag: El Salvador,el_salvador,,Flags,6.0,8.3
🇸🇽,flag: Sint Maarten,sint_maarten,,Flags,6.0,8.3
🇸🇾,flag: Syria,syria,,Flags,6.0,8.3
🇸🇿,flag: Eswatini,swaziland,,Flags,6.0,8.3
🇹🇦,flag: Tristan da Cunha,tristan_da_cunha,,Flags,11.0,12.1
🇹🇨,flag: Turks & Caicos Islands,turks_caicos_islands,,Flags,6.0,8.3
🇹🇩,flag: Chad,chad,,Flags,6.0,9.0
🇹🇫,flag: French Southern Territories,french_southern_territories,,Flags,6.0,8.3
🇹🇬,flag: Togo,togo,,Flags,6.0,8.3
🇹🇭,flag: Thailand,thailand,,Flags,6.0,8.3
🇹🇯,flag: Tajikistan,tajikistan,,Flags,6.0,8.3
🇹🇰,flag: Tokelau,tokelau,,Flags,6.0,9.0
🇹🇱,flag: Timor-Leste,timor_leste,,Flags,6.0,8.3
🇹🇲,flag: Turkmenistan,turkmenistan,,Flags,6.0,8.3
🇹🇳,flag: Tunisia,tunisia,,Flags,6.0,8.3
🇹🇴,flag: Tonga,tonga,,Flags,6.0,8.3
🇹🇷,flag: Turkey,tr,turkey,Flags,8.0,9.1
🇹🇹,flag: Trinidad & Tobago,trinidad_tobago,,Flags,6.0,8.3
🇹🇻,flag: Tuvalu,tuvalu,,Flags,6.0,8.3
🇹🇼,flag: Taiwan,taiwan,,Flags,6.0,9.0
🇹🇿,flag: Tanzania,tanzania,,Flags,6.0,8.3
🇺🇦,flag: Ukraine,ukraine,,Flags,6.0,8.3
🇺🇬,flag: Uganda,uganda,,Flags,6.0,8.3
🇺🇲,flag: U.S. Outlying Islands,us_outlying_islands,,Flags,11.0,12.1
🇺🇳,flag: United Nations,united_nations,,Flags,11.0,12.1
🇺🇸,flag: United States,us,flag united america,Flags,6.0,6.0
🇺🇾,flag: Uruguay,uruguay,,Flags,6.0,8.3
🇺🇿,flag: Uzbekistan,uzbekistan,,Flags,6.0,8.3
🇻🇦,flag: Vatican City,vatican_city,,Flags,6.0,9.0
🇻🇨,flag: St. Vincent & Grenadines,st_vincent_grenadines,,Flags,6.0,8.3
🇻🇪,flag: Venezuela,venezuela,,Flags,6.0,8.3
🇻🇬,flag: British Virgin Islands,british_virgin_islands,,Flags,6.0,8.3
🇻🇮,flag: U.S. Virgin Islands,us_virgin_islands,,Flags,6.0,8.3
🇻🇳,flag: Vietnam,vietnam,,Flags,6.0,8.3
🇻🇺,flag: Vanuatu,vanuatu,,Flags,6.0,8.3
🇼🇫,flag: Wallis & Futuna,wallis_futuna,,Flags,6.0,9.0
🇼🇸,flag: Samoa,samoa,,Flags,6.0,8.3
🇽🇰,flag: Kosovo,kosovo,,Flags,6.0,8.3
🇾🇪,flag: Yemen,yemen,,Flags,6.0,8.3
🇾🇹,flag: Mayotte,mayotte,,Flags,6.0,9.0
🇿🇦,flag: South Africa,south_africa,,Flags,6.0,8.3
🇿🇲,flag: Zambia,zambia,,Flags,6.0,8.3
🇿🇼,flag: Zimbabwe,zimbabwe,,Flags,6.0,8.3
🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag: England,england,,Flags,11.0,12.1
🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag: Scotland,scotland,,Flags,11.0,12.1
🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag: Wales,wales,,Flags,11.0,12.1
